date,coin,high,low,open,close,volume,quoteVolume,weightedAverage
1643680500,reversed_TUSD,2.615564807680135e-05,2.6113785597986107e-05,2.615553861839121e-05,2.614467259157237e-05,5886683.81,153.86321,2.613750418200067e-05
1643680800,reversed_TUSD,2.614467259157237e-05,2.6104814484830623e-05,2.614467259157237e-05,2.6128223210275497e-05,7398293.66,193.326903,2.613128882129595e-05
1643681100,reversed_TUSD,2.616531139075433e-05,2.6117086555420065e-05,2.6127328924782037e-05,2.6139820330558942e-05,7018615.27,183.507398,2.6145814159736283e-05
1643681400,reversed_TUSD,2.6139820330558942e-05,2.610003831485625e-05,2.6139820330558942e-05,2.610182321235138e-05,9715086.51,253.692574,2.611326052259946e-05
1643681700,reversed_TUSD,2.610180277321214e-05,2.606411981988651e-05,2.610180277321214e-05,2.6070099368790756e-05,10029477.98,261.536691,2.6076802441623164e-05
1643682000,reversed_TUSD,2.607211128828559e-05,2.6063128023648643e-05,2.6070126554822343e-05,2.6063128023648643e-05,4665219.82,121.621458,2.6069827511593256e-05
1643682300,reversed_TUSD,2.6062747628680907e-05,2.6022698559045115e-05,2.6062747628680907e-05,2.6045865205875635e-05,7328703.09,190.81929,2.603725253869721e-05
1643682600,reversed_TUSD,2.6053166697279132e-05,2.60036701580061e-05,2.6045865205875635e-05,2.60036701580061e-05,8671493.11,225.815858,2.604117839457177e-05
1643682900,reversed_TUSD,2.601263277498084e-05,2.596577762440658e-05,2.600367691991648e-05,2.596577762440658e-05,8393522.69,218.213678,2.599786973455395e-05
1643683200,reversed_TUSD,2.6012017031628275e-05,2.596577762440658e-05,2.596577762440658e-05,2.59916597962046e-05,8041638.6,208.964537,2.59853245281195e-05
1643683500,reversed_TUSD,2.60026694340441e-05,2.598721532954648e-05,2.59916597962046e-05,2.60026694340441e-05,2178275.64,56.614695,2.599060595538349e-05
1643683800,reversed_TUSD,2.601104272807978e-05,2.596318887155413e-05,2.60026694340441e-05,2.6005225490009964e-05,4452074.51,115.714846,2.599122068547686e-05
1643684100,reversed_TUSD,2.6005225490009964e-05,2.5976198528812025e-05,2.6005225490009964e-05,2.5976198528812025e-05,1806750.39,46.963715,2.5993477196832227e-05
1643684400,reversed_TUSD,2.603337530781212e-05,2.5976198528812025e-05,2.5976198528812025e-05,2.6033239761191884e-05,1686930.48,43.878553,2.601088711691165e-05
1643684700,reversed_TUSD,2.6033239761191884e-05,2.595211834165964e-05,2.6033239761191884e-05,2.5954091883195167e-05,2263936.08,58.835201,2.598801900347902e-05
1643685000,reversed_TUSD,2.595605225057142e-05,2.593485423963546e-05,2.5954091883195167e-05,2.593485423963546e-05,3965596.14,102.888483,2.594527725901637e-05
1643685300,reversed_TUSD,2.597314221256368e-05,2.592676518491747e-05,2.593485423963546e-05,2.595994017791385e-05,7398270.09,192.041293,2.5957595153405493e-05
1643685600,reversed_TUSD,2.5959946917100547e-05,2.5905776029540877e-05,2.5959946917100547e-05,2.5922060658658825e-05,6971651.04,180.701941,2.5919534360749118e-05
1643685900,reversed_TUSD,2.5959650396196183e-05,2.592033385390004e-05,2.5922060658658825e-05,2.595789162735993e-05,3239229.45,84.018009,2.5937659354494658e-05
1643686200,reversed_TUSD,2.5984703324846727e-05,2.595789162735993e-05,2.5957938794295275e-05,2.5975429321895835e-05,2483929.61,64.520286,2.5975091964813106e-05
1643686500,reversed_TUSD,2.5991207174612825e-05,2.5963856235012364e-05,2.5975429321895835e-05,2.598482486228043e-05,2533786.03,65.833433,2.5982239061022663e-05
1643686800,reversed_TUSD,2.5992443476832413e-05,2.595250898475861e-05,2.598482486228043e-05,2.595250898475861e-05,6240325.98,162.111295,2.597802051640148e-05
1643687100,reversed_TUSD,2.596838712425042e-05,2.592793486073069e-05,2.595250898475861e-05,2.593638789631773e-05,13694654.97,355.306253,2.594488683359261e-05
