date,coin,high,low,open,close,volume,quoteVolume,weightedAverage
1643673600,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643673900,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643674200,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643674500,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643674800,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643675100,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643675400,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643675700,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643676000,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643676300,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643676600,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643676900,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643677200,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643677500,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643677800,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643678100,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643678400,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643678700,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643679000,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643679300,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643679600,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643679900,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643680200,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643680500,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643680800,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643681100,ADA,2.722e-05,2.722e-05,2.722e-05,2.722e-05,0.0,0.0,2.722e-05
1643681400,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,4198.0,0.11377545,2.709e-05
1643681700,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643682000,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643682300,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643682600,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643682900,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643683200,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643683500,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643683800,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643684100,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643684400,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643684700,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643685000,ADA,2.713e-05,2.709e-05,2.713e-05,2.709e-05,0.0,0.0,2.709e-05
1643685300,ADA,2.732e-05,2.732e-05,2.732e-05,2.732e-05,36.0,0.001,2.732e-05
1643685600,ADA,2.732e-05,2.732e-05,2.732e-05,2.732e-05,0.0,0.0,2.732e-05
1643685900,ADA,2.732e-05,2.732e-05,2.732e-05,2.732e-05,0.0,0.0,2.732e-05
1643686200,ADA,2.738e-05,2.738e-05,2.738e-05,2.738e-05,13034.0,0.35689117,2.738e-05
1643686500,ADA,2.731e-05,2.731e-05,2.731e-05,2.731e-05,7.0,0.00020014,2.731e-05
1643686800,ADA,2.731e-05,2.731e-05,2.731e-05,2.731e-05,0.0,0.0,2.731e-05
1643687100,ADA,2.731e-05,2.731e-05,2.731e-05,2.731e-05,0.0,0.0,2.731e-05
1643687400,ADA,2.731e-05,2.731e-05,2.731e-05,2.731e-05,0.0,0.0,2.731e-05
1643687700,ADA,2.731e-05,2.731e-05,2.731e-05,2.731e-05,0.0,0.0,2.731e-05
1643688000,ADA,2.731e-05,2.731e-05,2.731e-05,2.731e-05,0.0,0.0,2.731e-05
