date,coin,high,low,open,close,volume,quoteVolume,weightedAverage
1643673600,STR,5.17e-06,5.17e-06,5.17e-06,5.17e-06,0.0,0.0,5.17e-06
1643673900,STR,5.17e-06,5.17e-06,5.17e-06,5.17e-06,19.0,0.00010008,5.17e-06
1643674200,STR,5.17e-06,5.17e-06,5.17e-06,5.17e-06,0.0,0.0,5.17e-06
1643674500,STR,5.17e-06,5.17e-06,5.17e-06,5.17e-06,0.0,0.0,5.17e-06
1643674800,STR,5.17e-06,5.17e-06,5.17e-06,5.17e-06,0.0,0.0,5.17e-06
1643675100,STR,5.17e-06,5.17e-06,5.17e-06,5.17e-06,0.0,0.0,5.17e-06
1643675400,STR,5.17e-06,5.17e-06,5.17e-06,5.17e-06,0.0,0.0,5.17e-06
1643675700,STR,5.17e-06,5.17e-06,5.17e-06,5.17e-06,0.0,0.0,5.17e-06
1643676000,STR,5.19e-06,5.19e-06,5.19e-06,5.19e-06,247.0,0.00128345,5.19e-06
1643676300,STR,5.2e-06,5.2e-06,5.2e-06,5.2e-06,1025.0,0.00533333,5.2e-06
1643676600,STR,5.2e-06,5.2e-06,5.2e-06,5.2e-06,917.0,0.0047721,5.2e-06
1643676900,STR,5.2e-06,5.2e-06,5.2e-06,5.2e-06,0.0,0.0,5.2e-06
1643677200,STR,5.2e-06,5.2e-06,5.2e-06,5.2e-06,0.0,0.0,5.2e-06
1643677500,STR,5.2e-06,5.2e-06,5.2e-06,5.2e-06,0.0,0.0,5.2e-06
1643677800,STR,5.2e-06,5.2e-06,5.2e-06,5.2e-06,0.0,0.0,5.2e-06
1643678100,STR,5.21e-06,5.21e-06,5.21e-06,5.21e-06,318.0,0.00166183,5.21e-06
1643678400,STR,5.21e-06,5.21e-06,5.21e-06,5.21e-06,0.0,0.0,5.21e-06
1643678700,STR,5.21e-06,5.21e-06,5.21e-06,5.21e-06,0.0,0.0,5.21e-06
1643679000,STR,5.21e-06,5.21e-06,5.21e-06,5.21e-06,0.0,0.0,5.21e-06
1643679300,STR,5.21e-06,5.21e-06,5.21e-06,5.21e-06,0.0,0.0,5.21e-06
1643679600,STR,5.21e-06,5.21e-06,5.21e-06,5.21e-06,0.0,0.0,5.21e-06
